iir_type,octave,filter_nb,coeff_type,coeff_index,binary_coeff,ansi_valid
butterworth,3,1,a,1,-1110110000100110101011111101011101110101111000101,False
butterworth,3,1,a,2,110000011101000101111011100101100011001100000001100,False
butterworth,3,1,a,3,-1011100010110110001110100100000100011010110001001000,False
butterworth,3,1,a,4,1101111101111001110010100011101000111110111100101000,False
butterworth,3,1,a,5,-1010111110110111101110110010001000010000010010000101,False
butterworth,3,1,a,6,101011110110011100110000010100110110101011010010010,False
butterworth,3,1,a,7,-1100101101001111000011000011101010110010110000011,False
butterworth,3,1,a,8,1101000110101011001101010011010101011000001011,False
butterworth,3,2,b,0,10011111000101101101110000000,False
butterworth,3,2,b,1,0,False
butterworth,3,2,b,2,-1001111100010110110111000000001,False
butterworth,3,2,b,3,0,False
butterworth,3,2,b,4,1110111010100010010010100000001,False
butterworth,3,2,b,5,0,False
butterworth,3,2,b,6,-1001111100010110110111000000001,False
butterworth,3,2,b,7,0,False
butterworth,3,2,b,8,10011111000101101101110000000,False
butterworth,3,2,a,0,10000000000000000000000000000000000000000000000,False
butterworth,3,2,a,1,-1110001011010101001101010111000001101100100011111,False
butterworth,3,2,a,2,101101001100011110101000111100101111111011011101010,False
butterworth,3,2,a,3,-1010100011100110110111010010111011100000000111001111,False
butterworth,3,2,a,4,1100101000100010111100010101111111011110110111010111,False
butterworth,3,2,a,5,-1001111010011010101000000111101100100000010111101101,False
butterworth,3,2,a,6,100111110110100010001100001110010111001101101000110,False
butterworth,3,2,a,7,-1011101111010010111111101010111000110001110110111,False
butterworth,3,2,a,8,1100011100001110101111010010110100111010110101,False
butterworth,3,3,b,0,110000100101011000110100110110,False
butterworth,3,3,b,1,0,False
butterworth,3,3,b,2,-11000010010101100011010011010111,False
butterworth,3,3,b,3,0,False
butterworth,3,3,b,4,100100011100000010100111101000010,False
butterworth,3,3,b,5,0,False
butterworth,3,3,b,6,-11000010010101100011010011010111,False
butterworth,3,3,b,7,0,False
butterworth,3,3,b,8,110000100101011000110100110110,False
butterworth,3,3,a,0,10000000000000000000000000000000000000000000000,False
butterworth,3,3,a,1,-1101010011100010011100110100111000001100001011101,False
butterworth,3,3,a,2,101000100100111011111010110111011101010101000011111,False
