iir_type,band,octave,filter_nb,iir_order_N,iir_order_effective,coeff_type,coeff_index,integer_bits,frac_bits,quantized_value,float_hex,binary_repr,ansi_valid_5,ansi_valid_10,ansi_valid_15,ansi_valid_20
butterworth,24,1,3,7,14,b,11,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,12,13,40,2.7284841053187847e-12,0x1.8000000000000p-39,0b11,False,False,False,False
butterworth,24,1,3,7,14,b,13,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,b,14,13,40,-0.0,-0x0.0p+0,0b0,False,False,False,False
butterworth,24,1,3,7,14,a,0,13,40,1.0,0x1.0000000000000p+0,0b10000000000000000000000000000000000000000,False,False,False,False
butterworth,24,1,3,7,14,a,1,13,40,-13.73148429811954,-0x1.b76851c23ec00p+3,-0b11011011101101000010100011100001000111110110,False,False,False,False
butterworth,24,1,3,7,14,a,2,13,40,87.66024457338517,0x1.5ea4172748340p+6,0b10101111010100100000101110010011101001000001101,False,False,False,False
butterworth,24,1,3,7,14,a,3,13,40,-344.8376163013154,-0x1.58d66e059cbf0p+8,-0b1010110001101011001101110000001011001110010111111,False,False,False,False
butterworth,24,1,3,7,14,a,4,13,40,933.8510089769443,0x1.d2eceddcb64a0p+9,0b11101001011101100111011011101110010110110010010100,False,False,False,False
butterworth,24,1,3,7,14,a,5,13,40,-1841.6824162278508,-0x1.cc6bacb51d384p+10,-0b111001100011010111010110010110101000111010011100001,False,False,False,False
butterworth,24,1,3,7,14,a,6,13,40,2727.652527334796,0x1.54f4e18101564p+11,0b1010101001111010011100001100000010000000101010110010,False,False,False,False
butterworth,24,1,3,7,14,a,7,13,40,-3082.0475488224074,-0x1.814185851ba68p+11,-0b1100000010100000110000101100001010001101110100110100,False,False,False,False
butterworth,24,1,3,7,14,a,8,13,40,2669.812959864822,0x1.4dba03c4680bep+11,0b1010011011011101000000011110001000110100000001011111,False,False,False,False
butterworth,24,1,3,7,14,a,9,13,40,-1764.4052610064518,-0x1.b919efcbdc438p+10,-0b110111001000110011110111111001011110111000100001110,False,False,False,False
